,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_PTS,PULL_UP_EFG_PCT
87,203469,Cody Zeller,1610612766,CHA,81,42,39,1400.0,18,50,0.36,0,0,0.0,36,0.36
88,202332,Cole Aldrich,1610612752,NYK,46,26,20,330.0,0,0,0.0,0,0,0.0,0,0.0
89,201147,Corey Brewer,1610612750,MIN,81,40,41,2609.0,24,99,0.242,2,21,0.095,50,0.253
90,202709,Cory Joseph,1610612759,SAS,68,52,16,936.0,35,91,0.385,1,4,0.25,71,0.39
91,201584,Courtney Lee,1610612763,MEM,79,47,32,1973.0,101,200,0.505,5,14,0.357,207,0.518
92,201571,D.J. Augustin,1610612741,CHI,70,43,27,1925.0,122,304,0.401,59,147,0.401,303,0.498
93,203474,DJ Stephens,1610612749,MIL,3,0,3,15.0,0,0,0.0,0,0,0.0,0,0.0
94,201591,DJ White,1610612766,CHA,2,2,0,10.0,0,0,0.0,0,0,0.0,0,0.0
95,203081,Damian Lillard,1610612757,POR,82,54,28,2937.0,202,517,0.391,101,276,0.366,505,0.488
96,202345,Damion James,1610612759,SAS,5,1,4,50.0,1,1,1.0,0,0,0.0,2,1.0
97,202350,Daniel Orton,1610612755,PHI,22,7,15,251.0,1,2,0.5,0,0,0.0,2,0.5
98,101122,Danny Granger,1610612746,LAC,41,31,10,848.0,14,50,0.28,1,5,0.2,29,0.29
99,201980,Danny Green,1610612759,SAS,68,54,14,1651.0,47,126,0.373,26,59,0.441,120,0.476
100,201967,Dante Cunningham,1610612750,MIN,81,39,42,1635.0,2,18,0.111,0,2,0.0,4,0.111
101,203130,Darius Johnson-Odom,1610612755,PHI,3,0,3,15.0,0,4,0.0,0,0,0.0,0,0.0
102,203121,Darius Miller,1610612740,NOP,45,14,31,723.0,19,49,0.388,1,7,0.143,39,0.398
103,202721,Darius Morris,1610612763,MEM,27,16,11,313.0,9,35,0.257,4,13,0.308,22,0.314
104,201589,Darrell Arthur,1610612743,DEN,68,33,35,1161.0,12,39,0.308,2,2,1.0,26,0.333
105,201954,Darren Collison,1610612746,LAC,80,56,24,2069.0,115,294,0.391,11,44,0.25,241,0.41
106,101135,David Lee,1610612744,GSW,68,41,27,2253.0,14,30,0.467,0,0,0.0,28,0.467
107,2561,David West,1610612754,IND,80,54,26,2472.0,58,165,0.352,0,3,0.0,116,0.352
108,201599,DeAndre Jordan,1610612746,LAC,82,57,25,2870.0,1,2,0.5,0,0,0.0,2,0.5
109,202732,DeAndre Liggins,1610612748,MIA,1,1,0,1.0,0,0,0.0,0,0,0.0,0,0.0
110,201971,DeJuan Blair,1610612742,DAL,78,46,32,1214.0,6,17,0.353,0,2,0.0,12,0.353
111,201942,DeMar DeRozan,1610612761,TOR,78,44,34,2982.0,229,612,0.374,9,41,0.22,467,0.382
112,202326,DeMarcus Cousins,1610612758,SAC,70,28,42,2277.0,50,131,0.382,0,2,0.0,100,0.382
113,201960,DeMarre Carroll,1610612737,ATL,73,37,36,2341.0,21,79,0.266,6,23,0.261,48,0.304
114,203471,Dennis Schroder,1610612737,ATL,48,21,27,622.0,15,63,0.238,1,17,0.059,31,0.246
